Date et heure,Adresse MAC,Emplacement,Temperature
2025-09-29 11:28:30,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:28:32,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:28:34,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:28:36,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:28:38,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:28:40,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:28:42,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:28:44,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:28:46,b8:27:eb:a2:f4:62,Poste 4,56.5
2025-09-29 11:28:48,b8:27:eb:a2:f4:62,Poste 4,56.5
2025-09-29 11:28:50,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:28:52,b8:27:eb:a2:f4:62,Poste 4,56.5
2025-09-29 11:28:54,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:28:56,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:28:58,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:00,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:02,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:04,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:06,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:08,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:10,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:12,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:14,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:16,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:18,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:20,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:22,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:24,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:26,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:28,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:30,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:32,b8:27:eb:a2:f4:62,Poste 4,56.8
2025-09-29 11:29:34,b8:27:eb:a2:f4:62,Poste 4,56.5
2025-09-29 11:29:36,b8:27:eb:a2:f4:62,Poste 4,56.5
2025-09-29 11:29:38,b8:27:eb:a2:f4:62,Poste 4,56.5
2025-09-29 11:29:40,b8:27:eb:a2:f4:62,Poste 4,56.5
2025-09-29 11:29:42,b8:27:eb:a2:f4:62,Poste 4,56.5
2025-09-29 11:29:44,b8:27:eb:a2:f4:62,Poste 4,56.5
2025-09-29 11:29:46,b8:27:eb:a2:f4:62,Poste 4,56.5
2025-09-29 11:29:48,b8:27:eb:a2:f4:62,Poste 4,56.5
2025-09-29 11:29:50,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:29:52,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:29:54,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:29:56,b8:27:eb:a2:f4:62,Poste 4,56.2
2025-09-29 11:29:58,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:30:00,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:30:02,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:30:04,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:30:06,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:30:08,b8:27:eb:a2:f4:62,Poste 4,56.0
2025-09-29 11:30:10,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:30:12,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:30:14,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:30:16,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:30:18,b8:27:eb:a2:f4:62,Poste 4,55.8
2025-09-29 11:30:20,b8:27:eb:a2:f4:62,Poste 4,55.5
2025-09-29 11:30:22,b8:27:eb:a2:f4:62,Poste 4,55.5
